 mpihmc1 mpihmc2 mpihmc3 mpihmc4 mpihmc5 mpihmc6 hmc0 hmc1 hmc2 hmc3 hmc_ndclover hmc_nosplit_ndclover hmc_nocsw_ndclover hmc_nosplit_nocsw_ndclover hmc_cloverdet hmc_tmcloverdet hmc_check_ndclover_tmcloverdet hmc_check_ndclover_nocsw_tmcloverdet hmc_tmcloverdetratio
openmp NA NA NA NA 0.482412419900974 0.387034465320122 NA NA NA NA NA NA NA NA NA NA NA NA NA
serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4D_MPI_hs_64 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_8 NA NA NA NA 0.514439431273218 0.673824534629133 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_16 NA NA NA NA 0.285600633148167 0.23680356003434 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_24 NA NA NA NA 0.22571452992627 0.188525011190679 NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3D_MPI_hs_64 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2D_MPI_hs_16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1D_MPI_hs_16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
hybrid_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_mpi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5.1.6_serial NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
mpi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
mpi_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
openmp_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
serial_hs NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
